Abbr.names,Abbr.
Conoglobigerina,Cono
Globuligerina,Gbul
Haeuslerina,Haeu
Compactogerina,Compac
Favusella,Favus
Globigerinelloides,Gnelloid
Gorbachikella,Gbach
Hedbergella,Hdbg
Leupoldina,Leup
Loeblichella,Loeb
Planomalina,Plano
Guembelitria,Gmbtria
Ticinella,Ticin
Biticinella,Biti
Rotalipora,Rotal
Clavihedbergella,Clvhdbg
Heterohelix,Htrhlx
Praeglobotruncana,Prglbtr
Schackoina,Schack
Paracostellagerina,Prcost
Asterohedbergella,Asthdbg
Pseudothalmanninella,Psthal
Whiteinella,White
Anaticinella,Anticin
Dicarinella,Dicar
Helvetoglobotruncana,Hlvtg
Lunatriella,Lun
Laeviheterohelix,Lvhtrhlx
Marginotruncana,Mrgtr
Pseudoguembelina,Psguemb
Falsotruncana,Falsot
Ventilabrella,Ventila
Archaeoglobigerina,Archgl
Contusotruncana,Contusotr
Eohastigerinella,Eohast
Globotruncanita,Gltrita
Hastigerinoides,Hastoides
Pseudotextularia,Pstext
Sigalia,Sig
Costellagerina,Cost
Globotruncana,Glbtr
Guembelina,Gmblina
Gansserina,Gans
Liuella,Liue
Rugoglobigerina,Rgglob
Radotruncana,Rado
Rugotruncana,Rugotr
Globotruncanella,Glbtrella
Planoglobulina,Plnglina
Racemiguembelina,Race
Gublerina,Gubl
Kuglerina,Kugl
Trinitella,Trini
Rectoguembelina,Recto
Bucherina,Buch
Abathomphalus,Abth
Plummerita,Plum
Zeauvigerina,Zgerina
Chiloguembelina,Cgmb
Eoglobigerina,Eoglob
Globanomalina,Globan
Parvularugoglobigerina,Parv
Globoconusa,Globcon
Parasubbotina,Prsub
Praemurica,Pramu
Subbotina,Sub
Woodringina,Wood
Morozovella,Moro
Igorina,Ig
Acarinina,Acar
Planorotalites,Planorot
Paragloborotalia,Prglrot
Jenkinsina,Jenk
Pseudohastigerina,Pshast
Catapsydrax,Cat
Globorotaloides,Glbrota
Globoturborotalita,Glbturbo
Guembelitrioides,Gmbtroid
Planoglobanomalina,Plglanom
Astrorotalia,Atrrot
Cassigerinelloita,Cassoit
Clavigerinella,Clavi
Hantkenina,Hantk
Morozovelloides,Moroides
Turborotalia,Turbo
Pseudoglobigerinella,Psglella
Globigerinatheka,Gtheka
Turborotalita,Trbita
Dipsidripella,Dip
Globigerina,Glob
Streptochilus,Stre
Orbulinoides,Orboid
Cassigerinella,Cass
Dentoglobigerina,Dent
Globoquadrina,Gq
Cribrohantkenina,Crib
Tenuitella,Ten
Jenkinsella,Jenkin
Globigerinita,Globita
Globigerinoides.Bu,Goid.Bu
Globigerinella,Gella
Fohsella,Foh
Globigerinoides.Br,Goid.Br
Globigerinoides.C,Goid.C
Neogloboquadrina,Neogq
Zeaglobigerina,Zeaglob
Globoconella,Glcon
Globigerinatella,Gltella
Sphaeroidinellopsis,Sphae
Menardella,Men
Praeorbulina,Porb
Hirsutella,Hirs
Orbulina,Orb
Clavatorella,Clvtrella
Globigerinoides.W,Goid.W
Globorotalia,Glrot
Protentella,Prot
Beella,Bee
Candeina,Cand
Hastigerina,Hast
Truncorotalia,Trun
Pulleniatina,Pull
Sphaeroidinella,Sphaell
Berggrenia,Berg
Hastigerinopsis,Hastop
Neoacarinina,Neoac